Year1,Year2,Difference,,So luong bao,Year distance,,,,Year,Yield,So luong,Scale,Duration,Distance,,Scale,Yield,Duration,Season,Distance,Year
2013,2005,1.1,,,8,,,,,,,,,,,,,,,,
2013,2006,-0.1,,,7,,,,,,,,,,,,,,,,
2013,2007,3.9,,,6,,,,,,,,,,,,,,,,
2013,2008,-0.7,,,5,,,,,,,,,,,,,,,,
2013,2009,-0.8,,,4,,,,,,,,,,,,,,,,
2013,2010,2.1,,,3,,,,,,,,,,,,,,,,
2013,2011,-2.2,,,2,,,,,,,,,,,,,,,,
2013,2012,-2,,,1,,,,,,,,,,,,,,,,
2014,2000,9.8,,,14,,,,,,,,,,,,,,,,
2014,2001,11,,,13,,,,,,,,,,,,,,,,
2014,2002,8.1,,,12,,,,,,,,,,,,,,,,
2014,2003,7.5,,,11,,,,,,,,,,,,,,,,
2014,2004,4.6,,,10,,,,,,,,,,,,,,,,
2014,2005,5.2,,,9,,,,,,,,,,,,,,,,
2014,2006,4,,,8,,,,,,,,,,,,,,,,
2014,2007,8,,,7,,,,,,,,,,,,,,,,
2014,2008,3.4,,,6,,,,,,,,,,,,,,,,
2014,2009,3.3,,,5,,,,,,,,,,,,,,,,
2014,2010,6.2,,,4,,,,,,,,,,,,,,,,
2014,2011,1.9,,,3,,,,,,,,,,,,,,,,
2014,2012,2.1,,,2,,,,,,,,,,,,,,,,
2014,2013,4.1,,,1,,,,,,,,,,,,,,,,
2015,2000,9.5,,,15,,,,,,,,,,,,,,,,
2015,2001,10.7,,,14,,,,,,,,,,,,,,,,
2015,2002,7.8,,,13,,,,,,,,,,,,,,,,
2015,2003,7.2,,,12,,,,,,,,,,,,,,,,
2015,2004,4.3,,,11,,,,,,,,,,,,,,,,
2015,2005,4.9,,,10,,,,,,,,,,,,,,,,
2015,2006,3.7,,,9,,,,,,,,,,,,,,,,
2015,2007,7.7,,,8,,,,,,,,,,,,,,,,
2015,2008,3.1,,,7,,,,,,,,,,,,,,,,
2015,2009,3,,,6,,,,,,,,,,,,,,,,
2015,2010,5.9,,,5,,,,,,,,,,,,,,,,
2015,2011,1.6,,,4,,,,,,,,,,,,,,,,
2015,2012,1.8,,,3,,,,,,,,,,,,,,,,
2015,2013,3.8,,,2,,,,,,,,,,,,,,,,
2015,2014,-0.3,,,1,,,,,,,,,,,,,,,,
2016,2000,9.8,,,16,,,,,,,,,,,,,,,,
2016,2001,11,,,15,,,,,,,,,,,,,,,,
2016,2002,8.1,,,14,,,,,,,,,,,,,,,,
2016,2003,7.5,,,13,,,,,,,,,,,,,,,,
2016,2004,4.6,,,12,,,,,,,,,,,,,,,,
2016,2005,5.2,,,11,,,,,,,,,,,,,,,,
2016,2006,4,,,10,,,,,,,,,,,,,,,,
2016,2007,8,,,9,,,,,,,,,,,,,,,,
2016,2008,3.4,,,8,,,,,,,,,,,,,,,,
2016,2009,3.3,,,7,,,,,,,,,,,,,,,,
